Sample in Buffer,Sample in Window,TRIGGER,sc_interrupt_sys/inst[31:0],sc_interrupt_sys/pc[31:0],sc_interrupt_sys/SI_ClkIn,sc_interrupt_sys/SI_Reset_N,sc_interrupt_sys/lock,sc_interrupt_sys/counter[26:0],sc_interrupt_sys/IO_Switch[15:0],sc_interrupt_sys/IO_LED[15:0],sc_interrupt_sys/dbg_imem_cs,sc_interrupt_sys/dbg_imem_we,sc_interrupt_sys/dbg_imem_addr[31:0],sc_interrupt_sys/dbg_imem_din[31:0],sc_interrupt_sys/dbg_dmem_cs,sc_interrupt_sys/dbg_dmem_we,sc_interrupt_sys/dbg_dmem_addr[31:0],sc_interrupt_sys/dbg_dmem_din[31:0],sc_interrupt_sys/dbg_halt_cpu,sc_interrupt_sys/IO_7SEGEN_N[7:0],sc_interrupt_sys/IO_7SEG_N[6:0],sc_interrupt_sys/intr
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
126,126,0,30200073,00000028,1,1,1,323af7b,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
127,127,0,30200073,00000028,0,1,1,323af7b,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
128,128,0,00552823,000000fc,1,1,1,323af7c,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
129,129,0,00552823,000000fc,0,1,1,323af7c,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
130,130,0,34202373,00000008,1,1,1,323af7d,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
131,131,0,34202373,00000008,0,1,1,323af7d,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
132,132,0,00f37393,0000000c,1,1,1,323af7e,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
133,133,0,00f37393,0000000c,0,1,1,323af7e,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
134,134,0,02000e13,00000010,1,1,1,323af7f,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
135,135,0,02000e13,00000010,0,1,1,323af7f,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
136,136,0,01c383b3,00000014,1,1,1,323af80,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
137,137,0,01c383b3,00000014,0,1,1,323af80,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
138,138,0,0003a383,00000018,1,1,1,323af81,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
139,139,0,0003a383,00000018,0,1,1,323af81,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
140,140,0,00038067,0000001c,1,1,1,323af82,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
141,141,0,00038067,0000001c,0,1,1,323af82,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
142,142,0,00000013,00000024,1,1,1,323af83,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
143,143,0,00000013,00000024,0,1,1,323af83,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
144,144,0,30200073,00000028,1,1,1,323af84,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
145,145,0,30200073,00000028,0,1,1,323af84,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
146,146,0,00552823,000000fc,1,1,1,323af85,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
147,147,0,00552823,000000fc,0,1,1,323af85,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
148,148,0,34202373,00000008,1,1,1,323af86,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
149,149,0,34202373,00000008,0,1,1,323af86,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
150,150,0,00f37393,0000000c,1,1,1,323af87,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
151,151,0,00f37393,0000000c,0,1,1,323af87,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
152,152,0,02000e13,00000010,1,1,1,323af88,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
153,153,0,02000e13,00000010,0,1,1,323af88,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
154,154,0,01c383b3,00000014,1,1,1,323af89,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
155,155,0,01c383b3,00000014,0,1,1,323af89,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
156,156,0,0003a383,00000018,1,1,1,323af8a,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
